trips;timestamp
136;1
112;2
64;3
26;4
17;5
37;6
75;7
383;8
881;9
795;10
415;11
385;12
476;13
601;14
572;15
644;16
744;17
887;18
1163;19
990;20
637;21
447;22
417;23
316;24
173;25
109;26
61;27
40;28
16;29
30;30
85;31
350;32
868;33
783;34
469;35
494;36
578;37
622;38
677;39
715;40
854;41
1038;42
1241;43
990;44
601;45
432;46
440;47
351;48
217;49
167;50
78;51
70;52
17;53
31;54
93;55
451;56
855;57
845;58
631;59
832;60
975;61
919;62
1081;63
1218;64
1231;65
1305;66
1266;67
1124;68
819;69
580;70
617;71
405;72
343;73
258;74
186;75
143;76
87;77
55;78
62;79
123;80
179;81
386;82
499;83
733;84
916;85
1086;86
1144;87
1345;88
1281;89
1323;90
1236;91
981;92
714;93
645;94
440;95
353;96
262;97
218;98
157;99
114;100
72;101
51;102
58;103
129;104
147;105
257;106
510;107
874;108
1002;109
1282;110
1347;111
1363;112
1243;113
1107;114
1047;115
738;116
525;117
400;118
321;119
215;120
106;121
78;122
45;123
35;124
15;125
31;126
69;127
396;128
753;129
805;130
442;131
445;132
548;133
609;134
623;135
686;136
848;137
1023;138
1276;139
1026;140
593;141
469;142
362;143
231;144
149;145
91;146
59;147
23;148
26;149
42;150
97;151
431;152
875;153
758;154
450;155
416;156
516;157
546;158
560;159
667;160
734;161
1039;162
1218;163
1018;164
642;165
463;166
388;167
242;168
136;169
112;170
64;171
26;172
17;173
37;174
75;175
383;176
881;177
795;178
415;179
385;180
476;181
601;182
572;183
644;184
744;185
887;186
1163;187
990;188
637;189
447;190
417;191
316;192
173;193
109;194
61;195
40;196
16;197
30;198
85;199
350;200
868;201
783;202
469;203
494;204
578;205
622;206
677;207
715;208
854;209
1038;210
1241;211
990;212
601;213
432;214
440;215
351;216
217;217
167;218
78;219
70;220
17;221
31;222
93;223
451;224
855;225
845;226
631;227
832;228
975;229
919;230
1081;231
1218;232
1231;233
1305;234
1266;235
1124;236
819;237
580;238
617;239
405;240
343;241
258;242
186;243
143;244
87;245
55;246
62;247
123;248
179;249
386;250
499;251
733;252
916;253
1086;254
1144;255
1345;256
1281;257
1323;258
1236;259
981;260
714;261
645;262
440;263
353;264
262;265
218;266
157;267
114;268
72;269
51;270
58;271
129;272
147;273
257;274
510;275
874;276
1002;277
1282;278
1347;279
1363;280
1243;281
1107;282
1047;283
738;284
525;285
400;286
321;287
215;288
106;289
78;290
45;291
35;292
15;293
31;294
69;295
396;296
753;297
805;298
442;299
445;300
548;301
609;302
623;303
686;304
848;305
1023;306
1276;307
1026;308
593;309
469;310
362;311
231;312
149;313
91;314
59;315
23;316
26;317
42;318
97;319
431;320
875;321
758;322
450;323
416;324
516;325
546;326
560;327
667;328
734;329
1039;330
1218;331
1018;332
642;333
463;334
388;335
242;336
136;337
112;338
64;339
26;340
17;341
37;342
75;343
383;344
881;345
795;346
415;347
385;348
476;349
601;350
572;351
644;352
744;353
887;354
1163;355
990;356
637;357
447;358
417;359
316;360
173;361
109;362
61;363
40;364
16;365
30;366
85;367
350;368
868;369
783;370
469;371
494;372
578;373
622;374
677;375
715;376
854;377
1038;378
1241;379
990;380
601;381
432;382
440;383
351;384
217;385
167;386
78;387
70;388
17;389
31;390
93;391
451;392
855;393
845;394
631;395
832;396
975;397
919;398
1081;399
1218;400
1231;401
1305;402
1266;403
1124;404
819;405
580;406
617;407
405;408
343;409
258;410
186;411
143;412
87;413
55;414
62;415
123;416
179;417
386;418
499;419
733;420
916;421
1086;422
1144;423
1345;424
1281;425
1323;426
1236;427
981;428
714;429
645;430
440;431
353;432
262;433
218;434
157;435
114;436
72;437
51;438
58;439
129;440
147;441
257;442
510;443
874;444
1002;445
1282;446
1347;447
1363;448
1243;449
1107;450
1047;451
738;452
525;453
400;454
321;455
215;456
106;457
78;458
45;459
35;460
15;461
31;462
69;463
396;464
753;465
805;466
442;467
445;468
548;469
609;470
623;471
686;472
848;473
1023;474
1276;475
1026;476
593;477
469;478
362;479
231;480
149;481
91;482
59;483
23;484
26;485
42;486
97;487
431;488
875;489
758;490
450;491
416;492
516;493
546;494
560;495
667;496
734;497
1039;498
1218;499
1018;500
642;501
463;502
388;503
242;504